Register: 04253	0x109d	Value: inconnue
Register: 04254	0x109e	Value: inconnue
Register: 04255	0x109f	Value: inconnue
Register: 04256	0x10a0	Value: 00000 (0x0000)
Register: 04257	0x10a1	Value: inconnue
Register: 04258	0x10a2	Value: inconnue
Register: 04259	0x10a3	Value: inconnue
Register: 04260	0x10a4	Value: inconnue
Register: 04261	0x10a5	Value: inconnue
Register: 04262	0x10a6	Value: inconnue
Register: 04263	0x10a7	Value: inconnue
Register: 04264	0x10a8	Value: inconnue
Register: 04265	0x10a9	Value: inconnue
Register: 04266	0x10aa	Value: inconnue
Register: 04267	0x10ab	Value: inconnue
Register: 04268	0x10ac	Value: inconnue
Register: 04269	0x10ad	Value: inconnue
Register: 04270	0x10ae	Value: inconnue
Register: 04271	0x10af	Value: inconnue
Register: 04272	0x10b0	Value: 00001 (0x0001)
Register: 04273	0x10b1	Value: inconnue
Register: 04274	0x10b2	Value: inconnue
Register: 04275	0x10b3	Value: inconnue
Register: 04276	0x10b4	Value: inconnue
Register: 04277	0x10b5	Value: inconnue
Register: 04278	0x10b6	Value: inconnue
Register: 04279	0x10b7	Value: inconnue
Register: 04280	0x10b8	Value: inconnue
Register: 04281	0x10b9	Value: inconnue
Register: 04282	0x10ba	Value: inconnue
Register: 04283	0x10bb	Value: inconnue
Register: 04284	0x10bc	Value: inconnue
